Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Year,Month
"department for business, innovation and skills","department for business, innovation and skills",2016-07-05,publications,"people, strategy and higher education - ministerial and parliamentary support team",the stationery office ltd,155019,165.0,PSHE Devolved Admin-Publications,nr3 1qz,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-08,stationery,business and science - science and research,banner business services ltd,155023,7.56,B&S Devolved Admin-Stationery,s9 1xu,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-08,stationery,business and science - science and research,banner business services ltd,155023,13.8,B&S Devolved Admin-Stationery,s9 1xu,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-08,stationery,business and science - science and research,banner business services ltd,155023,29.06,B&S Devolved Admin-Stationery,s9 1xu,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-08,stationery,business and science - science and research,banner business services ltd,155023,114.84,B&S Devolved Admin-Stationery,s9 1xu,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-21,it infrastructure support,"finance, commercial & digital transformation - digital directorate",fco services,155025,15666.0,FCDT Devolved Admin-IT Infrastructure Support,mk19 7bh,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-04,gas,"finance, commercial & digital transformation - estates",corona energy retail 4 ltd,155026,3237.91,FCDT Devolved Admin-Gas,wd17 1jw,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-05,gas,"finance, commercial & digital transformation - estates",corona energy retail 4 ltd,155028,1742.39,FCDT Devolved Admin-Gas,wd17 1jw,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-05,gas,"finance, commercial & digital transformation - estates",corona energy retail 4 ltd,155029,64.13,FCDT Devolved Admin-Gas,wd17 1jw,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-05,electricity,"finance, commercial & digital transformation - estates",corona energy retail 4 ltd,155030,1866.84,Abbey Orchard Street-Electricity,wd17 1jw,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-05,gas,"finance, commercial & digital transformation - estates",corona energy retail 4 ltd,155031,3072.41,Fleetbank House-Gas,wd17 1jw,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-05,central telecommunications services,economics & markets - consumer and competition policy,trading standards institute (tsi),155038,11116.0,ADR Directive-Central Telecommunications Services,ss15 6th,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-05,clarity travel management,"finance, commercial & digital transformation - uk shared business services",mawasem ltd t/a clarity travel management,155040,57796.79,Default-Clarity Travel Management,st18 0wn,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-05,clarity travel management,"finance, commercial & digital transformation - uk shared business services",mawasem ltd t/a clarity travel management,155040,329166.72,Default-Clarity Travel Management,st18 0wn,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-06,advertising,"people, strategy and higher education - human resources",hm revenue & customs,155041,30636.75,PSHE Devolved Admin-Advertising,bn12 4xj,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-07,hire of interim managers,"finance, commercial & digital transformation - digital directorate",rebecca industries ltd,155043,15360.0,FCDT Devolved Admin-Hire of Interim Managers,tn1 2qp,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-08,strategy consultancy,shareholder executive - corporate finance practice,dtcc derivatives repository ltd,155046,214.37,ShEx Devolved Admin-Strategy Consultancy,ec2a 2dq,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-08,strategy consultancy,shareholder executive - corporate finance practice,dtcc derivatives repository ltd,155047,211.11,ShEx Devolved Admin-Strategy Consultancy,ec2a 2dq,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-05,consultancy expenditure,"skills, deregulation and local growth - vocational education directorate",malcolm cooper associates ltd t/a mca cooper associates,155048,2400.0,Quality Improvement Reform-Consultancy Expenditure,s9 4wg,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-05,consultancy expenditure,"skills, deregulation and local growth - vocational education directorate",forrester-walker consulting ltd,155049,2880.0,Quality Improvement Reform-Consultancy Expenditure,wr14 3ef,vendor,2016,7
